data,valor,selic_aa,num_indice
2021-03-26,0.010379,2.65,1176.4656302553828
2021-03-25,0.010379,2.65,1176.3435375596196
2021-03-24,0.010379,2.65,1176.2214575345422
2021-03-23,0.010379,2.65,1176.0993901788352
2021-03-22,0.010379,2.65,1175.9773354911845
2021-03-19,0.010379,2.65,1175.8552934702752
2021-03-18,0.010379,2.65,1175.7332641147927
2021-03-17,0.007469,1.9,1175.6454551557472
2021-03-16,0.007469,1.9,1175.557652754663
2021-03-15,0.007469,1.9,1175.4698569110503
2021-03-12,0.007469,1.9,1175.3820676244195
2021-03-11,0.007469,1.9,1175.2942848942807
2021-03-10,0.007469,1.9,1175.2065087201445
2021-03-09,0.007469,1.9,1175.118739101521
2021-03-08,0.007469,1.9,1175.0309760379207
2021-03-05,0.007469,1.9,1174.9432195288541
2021-03-04,0.007469,1.9,1174.8554695738317
2021-03-03,0.007469,1.9,1174.767726172364
2021-03-02,0.007469,1.9,1174.6799893239618
2021-03-01,0.007469,1.9,1174.5922590281348
2021-02-26,0.007469,1.9,1174.5045352843945
2021-02-25,0.007469,1.9,1174.4168180922513
2021-02-24,0.007469,1.9,1174.329107451216
2021-02-23,0.007469,1.9,1174.241403360799
2021-02-22,0.007469,1.9,1174.1537058205113
2021-02-19,0.007469,1.9,1174.0660148298637
2021-02-18,0.007469,1.9,1173.978330388367
2021-02-17,0.007469,1.9,1173.8906524955323
2021-02-12,0.007469,1.9,1173.8029811508704
2021-02-11,0.007469,1.9,1173.715316353892
2021-02-10,0.007469,1.9,1173.6276581041081
2021-02-09,0.007469,1.9,1173.54000640103
2021-02-08,0.007469,1.9,1173.4523612441685
2021-02-05,0.007469,1.9,1173.3647226330354
2021-02-04,0.007469,1.9,1173.277090567141
2021-02-03,0.007469,1.9,1173.189465045997
2021-02-02,0.007469,1.9,1173.1018460691141
2021-02-01,0.007469,1.9,1173.0142336360038
2021-01-29,0.007469,1.9,1172.9266277461772
2021-01-28,0.007469,1.9,1172.8390283991464
2021-01-27,0.007469,1.9,1172.751435594422
2021-01-26,0.007469,1.9,1172.6638493315156
2021-01-25,0.007469,1.9,1172.5762696099387
2021-01-22,0.007469,1.9,1172.4886964292023
2021-01-21,0.007469,1.9,1172.4011297888187
2021-01-20,0.007469,1.9,1172.3135696882987
2021-01-19,0.007469,1.9,1172.226016127154
2021-01-18,0.007469,1.9,1172.1384691048966
2021-01-15,0.007469,1.9,1172.0509286210379
2021-01-14,0.007469,1.9,1171.9633946750898
2021-01-13,0.007469,1.9,1171.8758672665635
2021-01-12,0.007469,1.9,1171.7883463949715
2021-01-11,0.007469,1.9,1171.700832059825
2021-01-08,0.007469,1.9,1171.6133242606359
2021-01-07,0.007469,1.9,1171.5258229969163
2021-01-06,0.007469,1.9,1171.4383282681779
2021-01-05,0.007469,1.9,1171.350840073933
2021-01-04,0.007469,1.9,1171.2633584136934
2020-12-31,0.007469,1.9,1171.1758832869705
2020-12-30,0.007469,1.9,1171.0884146932772
2020-12-29,0.007469,1.9,1171.000952632125
2020-12-28,0.007469,1.9,1170.9134971030264
2020-12-24,0.007469,1.9,1170.8260481054936
2020-12-23,0.007469,1.9,1170.7386056390383
2020-12-22,0.007469,1.9,1170.6511697031733
2020-12-21,0.007469,1.9,1170.5637402974105
2020-12-18,0.007469,1.9,1170.4763174212624
2020-12-17,0.007469,1.9,1170.3889010742412
2020-12-16,0.007469,1.9,1170.3014912558594
2020-12-15,0.007469,1.9,1170.2140879656292
2020-12-14,0.007469,1.9,1170.1266912030635
2020-12-11,0.007469,1.9,1170.0393009676743
2020-12-10,0.007469,1.9,1169.9519172589742
2020-12-09,0.007469,1.9,1169.864540076476
2020-12-08,0.007469,1.9,1169.7771694196922
2020-12-07,0.007469,1.9,1169.6898052881354
2020-12-04,0.007469,1.9,1169.6024476813182
2020-12-03,0.007469,1.9,1169.5150965987532
2020-12-02,0.007469,1.9,1169.4277520399535
2020-12-01,0.007469,1.9,1169.3404140044315
2020-11-30,0.007469,1.9,1169.2530824917003
2020-11-27,0.007469,1.9,1169.1657575012725
2020-11-26,0.007469,1.9,1169.0784390326614
2020-11-25,0.007469,1.9,1168.9911270853795
2020-11-24,0.007469,1.9,1168.9038216589402
2020-11-23,0.007469,1.9,1168.8165227528557
2020-11-20,0.007469,1.9,1168.7292303666397
2020-11-19,0.007469,1.9,1168.641944499805
2020-11-18,0.007469,1.9,1168.554665151865
2020-11-17,0.007469,1.9,1168.4673923223327
2020-11-16,0.007469,1.9,1168.380126010721
2020-11-13,0.007469,1.9,1168.2928662165434
2020-11-12,0.007469,1.9,1168.205612939313
2020-11-11,0.007469,1.9,1168.1183661785433
2020-11-10,0.007469,1.9,1168.0311259337475
2020-11-09,0.007469,1.9,1167.9438922044387
2020-11-06,0.007469,1.9,1167.8566649901304
2020-11-05,0.007469,1.9,1167.7694442903367
2020-11-04,0.007469,1.9,1167.6822301045702
